challange,difficulty
ovaries estrogen,advanced
apollo music,advanced
bloodline mystery,advanced
chlorophyll green,advanced
gold malleable,advanced
bronze gear,advanced
barite glass,advanced
whale pod,advanced
antony cleopatra,advanced
stallion mare,advanced
ennui boredom,advanced
kakapo flightless,advanced
bodega wine,advanced
armenia yerevan,advanced
latvia lats,advanced
fiji fijian,advanced
nicaragua spanish,advanced
morocco berber,advanced
victoria africa,advanced
puka philippines,advanced
angiosperms maple,advanced
cinderella jackson,advanced
selfish compassion,advanced
corn husk,advanced
tyro inexperienced,advanced
red green,advanced
egg chick,advanced
dog kennel,advanced
hola spanish,advanced
chicken coop,advanced
tumor cancer,advanced
mobile battery,advanced
cheerleader squad,advanced
doctor orthodontist,advanced
germany euro,advanced
mountain range,advanced
happy content,advanced
wall room,advanced
glass clear,advanced
kilometer meter,advanced
carpenter saw,advanced
cat kitten,advanced
china shanghai,advanced
crack mirror,advanced
elephant ivory,advanced
paper wood,advanced
colonel army,advanced
hen cock,advanced
square cube,advanced
india modi,advanced
adroit adroitly,advanced
zippo lighter,advanced
slay dragon,advanced
physicist einstein,advanced
microsoft gates,advanced
gauck germany,advanced
hatchback cruze,advanced
volta battery,hard
einstein relativity,hard
paris eiffel,hard
water flow,hard
earthquake tsunami,hard
shard glass,hard
silk smooth,hard
cloth detergent,hard
music compose,hard
map atlas,hard
sweater knit,hard
amphibian frog,hard
car auto,hard
bad terrible,hard
rain umbrella,hard
goat milk,hard
bird wings,hard
stethoscope doctor,hard
keyboard finger,hard
fireplace fire,hard
lamp light,hard
love hate,hard
joke laughter,hard
pinch pain,hard
tennis racket,hard
tailor cloth,hard
hair comb,hard
drawer handle,hard
needle sew,hard
hand finger,hard
saturn titan,hard
stomach digest,hard
summer plums,hard
mosquito repellant,hard
summer cucumber,hard
spiderman raimi,hard
dim light,medium
lemon sour,medium
china chinese,medium
lifejacket boat,medium
eye see,medium
bed sleep,medium
fish swim,medium
school teacher,medium
keyboard type,medium
london england,medium
teacher teach,medium
fire hot,medium
engineer program,medium
kitchen utensils,medium
cup coffee,medium
painter painting,medium
cat meow,medium
leg crutch,medium
head helmet,medium
north up,medium
flowers vase,medium
neck scarf,medium
stairs ladder,medium
policeman policewoman,medium
window curtain,medium
exercise gym,medium
penny 1,medium
music listen,medium
jeans zipper,medium
closet clothes,medium
library books,easy
floor building,easy
mountains cool,easy
easy easier,easy
wise wiser,easy
lick taste,easy
letter word,easy
saw cut,easy
pencil write,easy
clock time,easy
pilot fly,easy
chimney smoke,easy
wool sheep,easy
india delhi,easy
england english,easy
angry angrily,easy
day week,easy
good bad,easy
camera photograph,easy
row boat,easy
whale ocean,easy
pentagon five,easy
chair wood,easy
car road,easy
city state,easy
tired sleep,easy
apple red,easy
